SDN,pH_1,pH_2,pH_3,pH_4,pH_5,pH_6,pH_7,pH_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737682.239583333,8.00874798465608,7.89357398805075,7.80572999658018,7.70648399489039,7.64237648467368,7.69341648476924,7.44427205010033,8.23312950345251,11.896732,11.647957,11.3370020035506,11.13468348921,11.009426,11.081028,10.5073510057936,12.6209464982825,0,0,0,0,0,0,0,0
737682.25,8.009579,7.880723,7.813641,7.705225,7.665486,7.699591,7.459584,8.228802,11.942448,11.718033,11.41119,11.194687,11.089149,11.143288,10.598911,12.658978,0,0,0,0,0,0,0,0
737682.260416667,8.000093,7.896112,7.803969,7.702445,7.673555,7.693417,7.445083,8.224607,11.942101,11.770355,11.436611,11.217625,11.106682,11.177456,10.645008,12.674507,0,0,0,0,0,0,0,0
737682.270833333,8.006161,7.854072,7.807425,7.701113,7.654571,7.696829,7.471888,8.223293,11.949802,11.762321,11.428879,11.217449,11.115166,11.163128,10.635784,12.66441,0,0,0,0,0,0,0,0
737682.28125,8.01096,7.894916,7.805469,7.708641,7.670224,7.686852,7.430044,8.221981,11.935844,11.732468,11.403362,11.185806,11.089973,11.130703,10.598362,12.654663,0,0,0,0,0,0,0,0
737682.291666667,8.009005,7.889353,7.808252,7.705297,7.656091,7.690912,7.434195,8.219328,11.916969,11.764053,11.391956,11.178848,11.063057,11.12365,10.582851,12.639462,0,0,0,0,0,0,0,0
737682.302083333,8.014359,7.86899,7.806885,7.705227,7.650564,7.696229,7.438318,8.222069,11.933754,11.76487,11.391808,11.196075,11.097801,11.142551,10.579243,12.639259,0,0,0,0,0,0,0,0
737682.3125,8.00149,7.88743,7.842155,7.701214,7.664806,7.699585,7.442429,8.223377,11.93166,11.73732,11.473244,11.188492,11.090206,11.145,10.586475,12.649704,0,0,0,0,0,0,0,0
737682.322916667,7.99598450000754,7.90145691847758,7.805650998275,7.69834699317545,7.66673349997737,7.69476449659276,7.43856501207497,8.22084200174511,11.9527664981015,11.790233409488,11.4437540004878,11.2304305107448,11.1229615065706,11.1764985071942,10.6404575094573,12.6742459952525,0,0,0,0,0,0,0,0
737682.333333333,7.996663,7.889317,7.806532,7.702436,7.645815,7.69478,7.436846,8.220535,11.952404,11.772789,11.480995,11.219711,11.100796,11.172035,10.641369,12.667915,0,0,0,0,0,0,0,0
737682.34375,8.00639932949219,7.89965999848791,7.80335433561433,7.71256366441585,7.68252734089827,7.69749967117836,7.46662367205008,8.22149900075772,11.942947,11.788013,11.4187506705413,11.2162119977067,11.12392,11.163879,10.6335589953531,12.658986668295,0,0,0,0,0,0,0,0
737682.354166667,8.000919,7.90235,7.810498,7.703488,7.676445,7.69715,7.469345,8.225025,11.905064,11.739616,11.343861,11.1264,11.05085,11.071579,10.513294,12.601112,0,0,0,0,0,0,0,0
