SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737693.495138889,111.5,82.5,77.6,61.5,59.7,50.9,48.4,38,14,12.7,13.8,11.7,12.1,11.4,11.5,10.4,282.95864668799,214.98793631146,197.725817694665,163.635482784426,157.52154968491,136.290394129616,129.323101839096,103.942161120542,8.84301039714951,6.71879293429152,6.17931801033391,5.1139284575419,4.92285610616007,4.2593410253646,4.04159953244253,3.24839555973943,0,0,0,0,0,0,0,0
737693.505555556,110.6,82.1,75.5,63,61.1,50,48.1,39,14.1,12.8,13.1,11.9,12.2,11.5,11.5,10.4,280.110126705327,213.505029159327,195.135399617534,166.924938787963,160.879913745776,133.598245701545,128.521512364887,106.67748115003,8.75398858382796,6.67244918930329,6.09836238569704,5.21673038277275,5.02781154277692,4.17520612855633,4.01654829567119,3.33387965341679,0,0,0,0,0,0,0,0
737693.515972222,111.1,83.5,78.9,63.4,61.8,51.3,46.5,37.1,14,12.9,13.7,11.9,12.3,11.5,11.5,10.5,281.943548403907,216.699476448649,201.445610414734,167.984779669156,162.384925612157,137.071800089786,124.246368502437,101.262411566798,8.81128659303417,6.77228190663944,6.29556879851034,5.24985248044115,5.07484610326135,4.2837614878988,3.88294169955739,3.16464815197193,0,0,0,0,0,0,0,0
737693.526388889,111.7,84.5,76.6,63.7,64.2,53.3,60.3,45.4,13.8,12.9,13.3,11.8,12.2,11.5,11.7,10.4,284.613064903274,219.294679759411,197.170550146028,169.133688071325,169.04239709458,142.415729917847,160.442595315461,124.183529338753,8.89471419786467,6.85338707917404,6.16196481486432,5.28575811211092,5.28290509077378,4.45076973304105,5.01414448763864,3.88097785295185,0,0,0,0,0,1,0,0
737693.536805556,113.6,87.6,81.1,75.4,71.6,63.5,60.9,63.7,13.8,12.8,13.5,11.8,12.2,11.6,11.6,10.5,289.454289821055,227.808045729075,207.904892522127,200.199059349732,188.527034765917,169.312664736876,162.380177676783,173.865650048653,9.04601193265377,7.11944639443323,6.49743398094028,6.25661164290681,5.89183807631469,5.29135148249502,5.07469772100704,5.43364116659331,0,0,1,0,0,1,0,0
737693.547222222,110.9,89.9,84.7,86.5,77.6,70.7,69.5,76.8,13.7,12.7,13.8,11.9,12.2,11.6,12,10.5,283.14725215455,234.271702720003,215.816710808481,229.190590558076,204.32538963457,188.510321210978,183.762603374199,209.621380278438,8.84890468637258,7.32144830051888,6.74469375612477,7.16265362079116,6.38556752405055,5.89131574507714,5.7429402892118,6.5510775760497,0,0,0,0,0,1,0,0
737693.557638889,111.1,92.5,87.2,91.9,81.7,76.2,73.6,85.2,13.7,12.6,13.1,11.9,12.2,11.5,11.6,10.6,283.657887415423,241.54535706736,225.374925121178,243.498442454187,215.120932128149,203.603726449155,196.242710624158,232.050169339485,8.86486303567171,7.54876420611789,7.04340662295075,7.60980193931454,6.72294931333673,6.36301413991985,6.13296801750604,7.25202104317409,0,0,0,0,0,1,0,0
737693.568055556,111,93.3,89.2,94.7,85,79.2,76.5,91.3,13.7,12.6,13.3,11.8,12.1,11.5,11.5,10.6,283.402569784987,243.634397993348,229.603303825401,251.443646159412,224.276913286722,211.619621191248,204.405315923365,248.66408991426,8.85688386102215,7.6140508154681,7.17555171652607,7.85810507404874,7.0090916084356,6.61352650763323,6.38806537669119,7.77123851222763,0,0,1,0,0,1,0,0
737693.578472222,111.8,92.9,90,94.7,83.4,82.1,78,74.1,14,12.8,13.2,11.8,12.2,11.5,11.6,10.6,283.719970401052,241.590952605377,232.13621592496,251.443646159412,219.597132674267,219.368319441938,207.974611802777,201.818281080467,8.86680325023601,7.55018915574027,7.25471016704045,7.85810507404874,6.86283932352856,6.8556884630895,6.49961284463956,6.3072154847324,0,1,1,0,0,1,0,0
737693.588888889,112.4,85.6,83,65,63.4,57.1,55,45,14.2,13,13.4,11.8,12.3,11.6,11.7,10.7,284.097323179105,221.693625364042,213.209160641367,172.585395991148,166.58906608108,152.24808120434,146.340675660869,122.299440642975,8.87859626161339,6.92835881505224,6.66320272021274,5.3936307266438,5.20623370464028,4.75804991575537,4.57343195389926,3.82209640111803,0,1,1,0,0,1,0,0
737693.599305556,111,82.6,72.5,65.6,62.5,53.3,48.3,41.8,13.9,12.7,12.8,12,12.3,11.7,11.6,10.7,282.258527547299,215.248527749413,188.539763873949,173.450745055359,164.22423706731,141.817418413169,128.784278847104,113.602591530586,8.82113030649725,6.72693692572703,5.89223588580376,5.42067457514092,5.13232817886463,4.43207132986965,4.02476026148834,3.55030287926075,0,0,1,0,0,1,0,0
737693.609722222,110.1,80.6,72.2,61.1,61.2,53.3,47,42.1,13.6,12.6,12.7,11.7,12.1,11.6,11.5,10.7,281.675357863722,210.470873293289,188.147018202272,162.571186961438,161.47937756644,142.115984731897,125.582350959453,114.417921134872,8.80290511481098,6.57762589203353,5.87996181643452,5.08066713424081,5.04654595807363,4.4414021105037,3.92469376084295,3.57578352193487,0,0,0,0,0,0,0,0
737693.620138889,109.2,80.1,71.6,61.2,61.2,53.2,48.4,43.1,13.8,12.6,12.7,11.9,12.2,11.7,11.7,10.8,278.243032116719,209.165222714547,186.583469574552,162.155654822592,161.143219660253,141.551344457422,128.779794581564,116.885491666914,8.6956382310369,6.53682176118965,5.83109786782149,5.06768094326496,5.03604036690585,4.42375599904438,4.02462011943135,3.65289992083611,0,0,0,0,0,0,0,0
737693.630555556,109.9,79.7,72.3,62.3,60.4,52.2,50.9,42.4,13.8,12.6,12.7,11.9,12.2,11.6,11.7,10.7,280.026641296954,208.120702251553,188.407609640225,165.070217245874,159.036772344433,139.183009437243,135.43164347524,115.233250739159,8.75137950174867,6.50417845651455,5.88810580787002,5.15876671185306,4.9702097738744,4.34974090372032,4.23250339006313,3.60126416460899,0,0,0,0,0,0,0,0
737693.640972222,110.2,80.2,70.6,61.9,60,51.3,50.9,42.1,13.8,12.5,12.5,11.7,12,11.4,11.5,10.4,280.791045231341,209.860054705527,184.73964915474,164.699778607414,158.643974135999,137.36143848427,136.003014124173,115.156973241443,8.77526861776801,6.55853661808634,5.77347487826553,5.14718978084298,4.95793406262889,4.29281325346176,4.25035983887035,3.59888034381658,0,0,0,0,0,0,0,0
737693.651388889,109.8,79.6,71.9,62.6,61.2,51.6,47.8,41.6,13.8,12.6,12.6,11.7,12.1,11.5,11.5,10.5,279.771839985492,207.859572135804,187.75255322317,166.562296297643,161.47937756644,137.873389563995,127.719922890677,113.544914317487,8.74341646307556,6.49601763034577,5.86763401535002,5.20539709661989,5.04654595807363,4.30881272467013,3.99149705889985,3.54850035369359,0,0,0,0,0,0,0,0
737693.661805556,111.8,80.6,70.9,63.2,60.6,52.2,48.8,41.7,14.1,12.8,12.9,12,12.2,11.6,11.6,10.8,283.149296253667,209.604206458486,183.999914733044,167.104986089919,159.563384173388,139.183009437243,130.117449435583,113.088747158012,8.84896856846262,6.55054086063149,5.75035673270343,5.22235721263577,4.98666742213226,4.34974090372032,4.06642444638988,3.53424423895281,0,0,0,0,0,0,0,0
737693.672222222,109.9,79.2,70.2,61.7,59.5,52.1,47,42.3,13.7,12.4,12.5,11.5,11.9,11.4,11.4,10.4,280.59407585018,207.673310022746,183.692965590124,164.860235195707,157.65133107752,139.503527193576,125.847711671748,115.704037247341,8.76911293987688,6.49019657549678,5.74076397243966,5.15220436263851,4.92691202817427,4.3597577096561,3.93298680141721,3.61597716255205,0,0,0,0,0,0,0,0
737693.682638889,110.3,77.8,69.4,61,59.6,53.3,52,43.1,13.6,12,12.2,11.2,11.6,11.1,11.3,10.1,282.187029721785,205.708353129679,182.734304647412,164.027170839797,158.913934146737,143.626625633809,139.530519097896,118.658047315357,8.81889585979702,6.42878783454213,5.7108039454782,5.1261694743358,4.96637084026305,4.48861258934336,4.36060125938795,3.70829574708911,0,0,0,0,0,0,0,0
737693.693055556,110.3,76.7,68.3,60.5,59.1,54.1,54.7,43,13.4,11.8,12,11.1,11.4,11,11.2,10,283.336992996901,203.650767269555,180.589723891479,163.028346169708,158.246803400006,146.092695828004,147.086659753064,118.639451272069,8.85483445830681,6.36448425743968,5.64378160795922,5.09495425244415,4.94552170135653,4.56568209975636,4.59674541387161,3.70771458441367,0,0,0,0,0,0,0,0
737693.703472222,110.1,74.7,67.7,60.5,58.8,53.2,49.4,43.7,13.3,11.8,11.9,11.1,11.4,10.9,10.9,10,283.400490484044,198.340447392904,179.378069141985,163.028346169708,157.443520134016,143.968694109943,133.685215959233,120.570791176498,8.85681887880629,6.19852638892757,5.60591503037644,5.09495425244415,4.92041753028366,4.49930289736681,4.17792411898347,3.7680727288111,0,0,0,0,0,0,0,0
737693.713888889,109.9,74.5,67.2,62.2,59,52.5,52.2,43.2,13.3,11.7,11.8,11.1,11.5,10.9,11.1,10,282.885684870085,198.22509703154,178.426747855464,167.609307962906,157.645929927824,142.074369187444,140.662473885269,119.191262673334,8.84073019782753,6.19492146482718,5.57618438200713,5.23811825623183,4.92674323169647,4.44010154345409,4.39597705748074,3.72495976852722,0,0,0,0,0,0,0,0
737693.724305556,110.5,74.2,68.2,61.5,60.1,53.9,48.6,43.1,13.3,11.8,11.9,11,11.4,11,10.9,10,284.43010171196,197.012867423742,180.702870243477,166.075800248101,160.924414286639,145.552611924758,131.520273190663,118.915356972701,8.8889962407638,6.15703692179954,5.64731765246194,5.1901931448247,5.02920227159945,4.54880342286262,4.1102654287975,3.71633717647045,0,0,0,0,0,0,0,0
737693.734722222,109.5,73.4,67.6,61.3,59.6,53.2,57,43,13.3,11.8,11.9,11,11.5,10.9,11.1,10,281.856073642169,194.888739473081,179.113108921687,165.535716344855,159.249108876242,143.968694109943,153.596954242535,118.639451272069,8.80855283587001,6.09065377439469,5.59763450595934,5.17331446793096,4.97684570523915,4.49930289736681,4.80020483288126,3.70771458441367,0,0,0,0,0,0,0,0
737693.745138889,109.1,74.3,68.1,63.8,59,53.3,47.9,43,13.3,11.7,11.9,11.2,11.4,10.9,10.8,10,280.826462414252,197.692949120046,180.437910023179,171.556286878345,157.979042311343,144.239311956015,129.902901411721,118.639451272069,8.77637547391249,6.17829080317664,5.63903712804484,5.36146905676433,4.93715364433224,4.50776023364006,4.05971940157888,3.70771458441367,0,0,0,0,0,0,0,0
737693.755555556,110.3,73.7,67.4,61.9,59,53.1,49.3,43.8,13.3,11.7,11.8,11,11.4,10.9,10.9,10,283.915296098002,196.096505385564,178.957779843129,167.155968054592,157.979042311343,143.698076263872,133.414598113162,120.84669687713,8.87290755978504,6.12839881822501,5.59278016885834,5.22395049861217,4.93715364433224,4.49084556109357,4.16946678271023,3.77669532086788,0,0,0,0,0,0,0,0
737693.765972222,109.4,74.4,67.6,60.3,58.4,52.6,51.3,43.1,13.3,11.7,11.9,11.1,11.4,10.9,10.9,10,281.59867083519,197.959023075793,179.113108921687,162.489409488155,156.372475779363,142.344987033515,138.826955034588,118.915356972701,8.80050849538063,6.18660613400191,5.59763450595934,5.07811142846912,4.88694530218649,4.44855887972734,4.33861350817514,3.71633717647045,0,0,0,0,0,0,0,0
737693.776388889,107.9,74,67.6,60.4,58.3,53,49.2,43.7,13.3,11.8,11.9,11.1,11.4,10.9,10.9,10,277.737628730502,196.481835436077,179.113108921687,162.758877828931,156.1047146907,143.427458417801,133.14398026709,120.570791176498,8.67984338803995,6.14044113494833,5.59763450595934,5.08653284045664,4.8785772451622,4.48238822482032,4.16100944643698,3.7680727288111,0,0,0,0,0,0,0,0
737693.786805556,108.4,74,67.7,61.3,59.1,54.4,50.2,43.1,13.3,11.7,11.9,11,11.4,11,11,10,279.024642765398,196.894727252805,179.378069141985,165.535716344855,158.246803400006,146.902821682873,135.56105971471,118.915356972701,8.72006509048684,6.15334481070082,5.60591503037644,5.17331446793096,4.94552170135653,4.59100011509697,4.23654790032845,3.71633717647045,0,0,0,0,0,0,0,0
737693.797222222,108.3,73.8,66.9,60.5,59.7,53.1,48.8,43.5,13.3,11.7,11.9,11,11.4,10.9,10.9,10.1,278.767239958419,196.362579341311,177.258387379598,163.375380731871,159.853369931986,143.698076263872,132.061508882805,119.759282093226,8.71202074999746,6.13671414905028,5.53967083503964,5.105799760356,4.99573004350229,4.49084556109357,4.127180101344,3.74271148488112,0,0,0,0,0,0,0,0
