SDN,Sat_1,Sat_2,Sat_3,Sat_4,Sat_5,Sat_6,Sat_7,Sat_8,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,uM_1,uM_2,uM_3,uM_4,uM_5,uM_6,uM_7,uM_8,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,DeSpike_1,DeSpike_2,DeSpike_3,DeSpike_4,DeSpike_5,DeSpike_6,DeSpike_7,DeSpike_8
737962.7833,95,92.5,NaN,64.9,63.3,54,50.3,28.2,17.3,13.4,NaN,11.5,12.1,10.9,11.4,10.2,226.00564,237.6126188,NaN,173.4105229,167.0203366,146.1336369,134.6838276,77.46937188,7.063117694,7.425858453,NaN,5.419417555,5.219711751,4.566961588,4.209132683,2.421069188,0,0,1,0,0,0,0,0
737962.7938,95.1,92.5,NaN,64.6,69,53.6,51.6,27.8,17.3,13.4,NaN,11.4,12.1,10.9,11.5,10.2,226.2435406,237.6126188,NaN,172.9736633,182.0600826,145.0511655,137.8733896,76.37051554,7.070552555,7.425858453,NaN,5.405764838,5.689733188,4.533132242,4.308812725,2.386727781,0,0,1,0,1,0,0,0
737962.8042,95.2,92.3,NaN,63.9,66.9,53.7,50.4,27.9,17.4,13.4,NaN,11.4,12.7,10.9,11.5,10.1,226.0516082,237.0988618,NaN,171.0993357,174.335672,145.3217833,134.6670317,76.81112576,7.06455429,7.409802543,NaN,5.347188439,5.44833027,4.541589579,4.208607778,2.400497711,0,0,1,0,1,0,0,0
737962.8146,95.3,92,NaN,65.1,78.1,54.1,50.7,27.5,17.5,13.4,NaN,11.4,13.6,10.9,11.3,10.1,225.8603296,236.3282263,NaN,174.3124687,199.8078606,146.4042547,136.0422561,75.70989098,7.05857646,7.385718678,NaN,5.447605123,6.244385917,4.575418924,4.251586228,2.366081973,0,0,1,0,1,0,0,0
737962.825,95.1,92,NaN,65.4,63.9,54.2,50.8,27.4,17.5,13.4,NaN,11.4,11.9,10.9,11.3,10.1,225.386331,236.3282263,NaN,175.115752,169.3095808,146.6748726,136.310584,75.43458228,7.043763078,7.385718678,NaN,5.472709294,5.291255103,4.58387626,4.259972,2.357478039,0,0,1,0,0,0,0,0
737962.8354,95.1,91.9,NaN,65,74.1,53.9,50.8,27.7,17.7,13.4,NaN,11.4,12.8,10.9,11.4,10.2,224.535304,236.0713477,NaN,174.0447076,192.7006414,145.863019,136.022633,76.09580146,7.017166822,7.377690723,NaN,5.439237066,6.022271436,4.558504251,4.250972968,2.378142429,0,0,1,0,0,0,0,0
737962.8458,95.3,92.3,NaN,64.3,61.4,53.7,50.6,28,17.7,13.4,NaN,11.3,12.5,10.8,11.2,10,225.0075128,237.0988618,NaN,172.5348534,160.6659272,145.6322715,136.0618827,77.25359618,7.03192427,7.409802543,NaN,5.392051173,5.021124044,4.551292941,4.252199597,2.414325776,0,0,1,0,1,0,0,0
737962.8563,95.1,92,NaN,65.3,61.7,54.4,51.7,28.7,17.8,13.4,NaN,11.3,11.7,10.8,11.3,10,224.1120892,236.3282263,NaN,175.2181326,164.1676307,147.5306438,138.7255353,79.18493608,7.003940533,7.385718678,NaN,5.475908889,5.130559119,4.610620782,4.335443944,2.47468392,0,0,1,0,1,0,0,0
737962.8667,95.3,92.7,NaN,65.5,61.5,53.8,51,28.2,17.9,13.3,NaN,11.3,11.9,10.8,11.2,10.2,224.1608284,238.6124021,NaN,175.7547885,162.9505355,145.9034676,137.1374707,77.46937188,7.005463728,7.457103634,NaN,5.492680432,5.092522517,4.559768347,4.285813823,2.421069188,0,0,1,0,1,0,0,0
737962.8771,95,92.6,NaN,63.9,87.4,53.4,50.8,27.7,17.9,13.4,NaN,11.2,12.9,10.8,11.4,10,223.4551804,237.8694973,NaN,171.8251839,226.8207694,144.8186834,136.022633,76.42587908,6.983410852,7.433886408,NaN,5.369872613,7.08859208,4.525866723,4.250972968,2.388458,0,0,1,0,1,0,0,0
737962.8875,95,92.4,NaN,64.7,84.5,53.8,50.5,27.4,18,13.3,NaN,11.3,12.8,10.8,11.3,10.1,223.0354437,237.8401936,NaN,173.6081651,219.7463455,145.9034676,135.5056003,75.43458228,6.97029326,7.432970612,NaN,5.425594259,6.867502515,4.559768347,4.234814685,2.357478039,0,0,1,0,1,0,0,0
737962.8979,95.1,92.5,NaN,64.6,81,54.8,51.2,27.2,18,13.3,NaN,11.3,13.9,10.9,11.4,10,223.2702179,238.0975965,NaN,173.3398372,205.972439,148.2985796,137.0936774,75.04635057,6.97763041,7.441014953,NaN,5.417208488,6.437041034,4.634620278,4.284445196,2.345345039,0,0,1,0,0,0,0,0
737962.9083,95.2,92.2,NaN,64.7,86.2,53.4,49.8,27.1,18,13.4,NaN,11.3,14,10.8,11.4,10.1,223.504992,236.8419833,NaN,173.6081651,218.7536802,144.8186834,133.3450222,74.6086562,6.984967561,7.401774588,NaN,5.425594259,6.836479787,4.525866723,4.167292398,2.331666235,0,0,1,0,0,0,0,0
737962.9188,95,92.5,NaN,64.9,87,53.6,50.4,27,18.1,13.4,NaN,11.3,14.6,10.8,11.5,10.1,222.6172119,237.6126188,NaN,174.144821,218.1444927,145.3610755,134.6670317,74.33334751,6.957222698,7.425858453,NaN,5.442365803,6.817441486,4.542817535,4.208607778,2.323062301,0,0,1,0,1,0,0,0
737962.9292,95.4,91.9,NaN,64.1,83,53.3,50.2,27.3,18.1,13.4,NaN,11.3,12.8,10.8,11.3,10,223.5545475,236.0713477,NaN,171.9981976,215.8455228,144.5474874,134.7006165,75.32225627,6.986516268,7.377690723,NaN,5.375279629,6.745594187,4.517391317,4.20965737,2.353967631,0,0,1,0,1,0,0,0
737962.9396,95.6,92.3,NaN,62.8,71.8,53.8,50.3,27.8,18.1,13.4,NaN,11.3,12.1,10.8,11.3,9.9,224.0232153,237.0988618,NaN,168.5099346,189.4480279,145.9034676,134.9689444,76.86842227,7.001163052,7.409802543,NaN,5.266264598,5.920620912,4.559768347,4.218043141,2.402288339,0,0,1,0,1,0,0,0
737962.95,95.6,92.8,NaN,64.2,87.9,52.8,50.1,27.3,18.2,13.4,NaN,11.2,12.8,10.8,11.3,10.1,223.6038487,238.3832543,NaN,172.6318749,228.5882103,143.1915072,134.4322886,75.15927359,6.988057026,7.449942319,NaN,5.395083283,7.14382806,4.475014288,4.201271598,2.348874104,0,0,1,0,1,0,0,0
737962.9604,95.8,92.6,NaN,63.9,98.5,53.2,50.4,27.6,18.1,13.3,NaN,11.2,14,10.8,11.3,10,224.4918832,238.3549993,NaN,171.8251839,249.9679525,144.2762913,135.2372724,76.14997337,7.015809837,7.449059293,NaN,5.369872613,7.811986763,4.508915912,4.226428913,2.379835408,0,0,1,0,1,0,0,0
737962.9708,95.3,92.7,NaN,63.8,78.8,53.9,50.5,27.3,18.1,13.3,NaN,11.2,13.2,10.8,11.3,10,223.3202136,238.6124021,NaN,171.5562869,203.2481535,146.1746636,135.5056003,75.32225627,6.979192875,7.457103634,NaN,5.361469057,6.351901791,4.568243753,4.234814685,2.353967631,0,0,1,0,1,0,0,0
